Company,Merged with,Number of Claims Belonging to that Company Before Merge
Silex Systems Ltd,Silex Systems,2
EnergoNuclear,Eletronuclear,2
DeepGEO,DeepGeo,2
Australian Nuclear Science & Technology Organisation (ANSTO),Australia’s Nuclear Science & Technology Organisation (ANSTO),2
GSPI,GSPI: ,2
Springfields Fuels Ltd,Springfields Fuels Limited,2
Exim Bank,US Exim Bank,2
Mitsubishi Corporation,Mitsubishi Electric Corporation,2
Terrestrial Energy USA,Terrestrial Energy,2
SN Nuclearelectrica,Nuclearelectrica,2
Department of Energy (DOE),US Department of Energy,2
British Nuclear Fuels Ltd (BNFL),British Nuclear Fuels Limited,2
Svensk Kärnbränslehantering AB (SKB),Svensk Kärnbränslehantering (SKB),2
State Scientific & Technical Centre for Nuclear & Radiation Safety,State Scientific & Technical Centre for Nuclear & Radiation Safety (SSTCNRS),2
NIIEFA,NIIEF,2
NUWARD,Nuward,2
First Light Fusion (FLF),First Light Fusion,2
Nuclear Restoration Services,Magnox / Nuclear Restoration Services,2
Nuclear Transport Solutions (NTS),Nuclear Transport Solutions,2
National Atomic Energy Commission (CNEA),Ghana Atomic Energy Commission,2
Korea Hydro and Nuclear Power,Korea Hydro & Nuclear Power,2
NSG Environmental,WSP Environmental,2
IVO,Ivo,2
State Power Investment Corporation (SPIC),State Power Investment Corporation,2
Transmutex,Transmutex SA,2
OKB Gidropress,Gidropress,2
Westinghouse Electric Company UK Limited,Westinghouse Electric Company UK,2
JSC Energospetzmontazh,Energospetzmontazh,2
Ultra Safe Nuclear Corporation (UNSC),Ultra Safe Nuclear Corporation,2
Westinghouse Government Services,Westinghouse Operating Plant Services,2
Ansaldo Energia Group,Ansaldo Energia,2
Slovenské elektrárne (SE),Slovenske Elektrarne,2
Nucleoeléctrica Argentina SA,Nucleoelectrica Argentina,2
Research Institute for Atomic Reactors,Korea Atomic Energy Research Institute,2
Energospetsmontazh,Energospetzmontazh,2
Electric Power Research Institute (EPRI),Electric Power Research Institute,2
Endesa,Enresa,2
TITAN-2,Titan-2,2
Kuopion Energia,Kuopio Energy,2
Rostechnadzor,Rostekhnadzor,2
World Nuclear Association (WNA),World Nuclear Association,2
State Power Investment Corp (SPIC),State Power Investment Corporation,2
JSC Energospetsmontazh,Energospetzmontazh,2
JSC OKBM Afrikantov,OKBM Africantov,2
CNNC Hainan Nuclear Power Company,Hainan Nuclear Power Company,2
CERES Power,CORE POWER,2
Lightbridge Fuel,Lightbridge,2
RATEN,Raten,2
Shanghai Nuclear Engineering Research & Design Institute,Shanghai Nuclear Engineering Research and Design Institute,2
Naarea SA,Areva SA,2
Orano DS,Orano Med,2
US Export-Import Bank,US Export-Import (Exim) Bank,2
TSP Engineering,Walsh Engineering,1
EIB (European Investment Bank),European Investment Bank (EIB),1
Westinghouse UK,Westinghouse,1
Orlen Sythnos Green Energy (OSGE),Orlen Sythnos Green Energy,1
Joint Research Centre (JRC),Joint Research Centre,1
Orano Federal Services,Fluor Federal Services,1
NA Dollezhal Scientific Research and Design Institute of Power Engineering,NA Dollezhal Scientific Research & Design Institute of Power Engineering (Nikiet),1
NNB Generation Company (SZC) Ltd.,NNB Generation Company HPC Ltd,1
