Company,Merged with,Number of Claims Belonging to that Company Before Merge
Hyundai Engineering & Construction (HEC),Hyundai Engineering & Construction,1
KGHM Polska Miedżed SA,KGHM Polska Miedz,1
Rusatom Energy Projects,Rosatom Energy Projects,1
Japan Atomic Energy Agency (JAEA),Japan Atomic Energy Agency,1
US NuScale Power,NuScale Power,1
DB Energy,EDF Energy,1
Societatea Naționala Nuclearelectrica (SNN),Societatea Națională Nuclearelectrica,1
Slovenské Elektrárne,Slovenske Elektrarne,1
Societatea Naționala Nuclearelectrica,Societatea Națională Nuclearelectrica,1
GE Hitachi (GEH),GE-Hitachi,1
BWXTechologies,BWX Technologies,1
Ansaldo Nuclear,Ansaldo Nucleare,1
Department of Atomic Energy,Department of Energy,1
SRS. Servizi Ricerche e Sviluppo,SRS Servizi Ricerche e Sviluppo,1
International Atomic Energy Agency (IAEA),International Atomic Energy Agency,1
Global Nuclear Fuel-Americas,US-based Global Nuclear Fuel-Americas,1
GE-Hitachi Nuclear Energy International LLC,GE-Hitachi Nuclear Energy International,1
Nuclear Power Corporation of India Ltd (NPCIL),Nuclear Power Corporation of India Ltd,1
General Electric (GEH),General Electric,1
Northwest Energy,Energy Northwest,1
HD Korea Shipbuilding & Offshore Engineering,HD Korea Shipbuilding & Marine Engineering,1
S.N. Nuclearelectrica,Nuclearelectrica,1
Samsung C&T Corp,Samsung C&T Corporation,1
Korea Hydro and Nuclear Power,Korea Hydro & Nuclear Power,1
Terrestrial Energy USA,Terrestrial Energy,1
Atomic Energy of Canada Ltd.,Atomic Energy of Canada Limited,1
Nucor Corporation,Fluor Corporation,1
Office of Nuclear Regulation (ONR),Office for Nuclear Regulation,1
Enel Group,ENEA Group,1
LeadCold,Leadcold,1
Pacific Northwest National Laboratory,Pacific Northwest National Laboratory (PNNL),1
US Centrus Energy,Centrus Energy,1
Holtech,Holtec,1
Westinghouse Electric Co.,Westinghouse Electric,1
BWX Technologies (BWXT),BWX Technologies,1
Polskie Elektrownie Jądrowy,Polskie Elektrownie Jadrowe (PEJ),1
PK Orlen,PKN Orlen,1
ORLEN Synthos Green Energy,Orlen Sythnos Green Energy,1
Ares Acquisition Corporation (AAC),Ares Acquisition Corporation,1
Atomic Energy of Canada Limited (AECL),Atomic Energy of Canada Limited,1
Invap,INVAP,1
Springfields Fuels Ltd,Springfields Fuels Limited,1
Societatea Nationala Nuclearelectrica SA,Societatea Națională Nuclearelectrica,1
UK Nuclear Decommissioning Authority,Nuclear Decommissioning Authority (NDA),1
Rusat Energy Projects,Rosatom Energy Projects,1
KEPCO,Kepco,1
Prodigy Clean Energy Ltd,Prodigy Clean Energy,1
Hyundai Engineering and Construction (HDEC),Hyundai Engineering & Construction,1
PKN ORLEN S.A.,PKN Orlen,1
HOLTEC Britain,Holtec Britain,1
JSC OKBM Afrikantov,OKBM Africantov,1
Rolls-Royce SMR Ltd,Rolls-Royce SMR Limited,1
China Nuclear Power Research and Design Institute,Nuclear Power Research & Design Institute of China,1
Hainan Nuclear Power Co Ltd,Hainan Nuclear Power Company,1
ARC Clean Energy,ARC Clean Energy Canada,1
NRG|Pallas,NRGIPALLAS,1
CV Rez,CV-Rez,1
Canadian Nuclear Laboratories (CNL),Canadian Nuclear Laboratories,1
Societatea Nationala Nuclearelectrica SA (SNN),Societatea Națională Nuclearelectrica,1
US Global Laser Enrichment,Global Laser Enrichment,1
US NuScale,NuScale,1
Kind Atom,Kind Atom Oy,1
US Trade and Development Agency (USTDA),United States Trade and Development Agency,1
Desktop Metal,"Desktop Metal, Inc",1
Doosan Heavy Industries and Construction,Doosan Heavy Industries & Construction,1
Spring Valley Acquisition Corp.,Spring Valley Acquisition Corp,1
Atomic Energy Canada Ltd,Atomic Energy Canada Ltd. (AECL),1
Nuclear Advanced Manufacturing Research Centre,the Nuclear Advanced Manufacturing Research Centre,1
GE/Hitachi,GE-Hitachi,1
Électricité de France,Électricité de France (EDF),1
NUScale,NuScale,1
Hyundai Engineering and Construction Co.,Hyundai Engineering & Construction,1
Technicatom,TechnicAtome,1
Green Planet Energy,Green Energy Partners,1
SCK-CEN,SCK CEN,1
Newcleo SA,newcleo,1
BLUE CAPSULE,Blue Capsule,1
Framatone,Framatome,1
General Electric (GE),General Electric,1
HOLTEC,Holtec,1
ENTERGY,Entergy,1
AECON,Aecon,1
Mitsubishi Electric of Japan,Mitsubishi Electric,1
Hyundai Engineering and Construction of Korea,Hyundai Engineering & Construction,1
